Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,Canada,,,,,,,,6,0,3,,,,3,7,5,,3,3,,5,11,5,3,1,1,1,,,,,3,,3,63,0.3%
,China,24,,,6,6,26,,,,,,,,,,,,,,,,,,,,,,13,,,7,,155,2,238,1%
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,0.2%
,Czechia,,,,4,4,63,38,,8,,,3,,,,12,,0,0,3,3,,,6,,,,0,0,,0,1,1,,147,0.6%
,Czechoslovakia,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.4%
,Denmark,,,,,3,,,,,,18,,10,,,,,,8,8,8,,,,,,8,,2,,,,,8,72,0.3%
,Egypt,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Finland,,,2,,,7,,1,2,,,,,,5,33,41,37,92,60,63,61,61,47,51,15,16,16,16,16,12,15,24,22,717,3.1%
,France,31,18,12,12,7,,,,11,9,,,,20,20,,22,54,36,31,22,49,32,22,7,26,3,8,3,4,3,4,17,157,637,2.7%
,Germany,1,40,50,62,74,64,59,6,14,9,25,43,58,262,239,55,54,40,45,6,,5,9,5,166,76,20,15,37,122,94,29,72,283,2138,9.2%
,Greece,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Iran,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,0%
,Israel,,,,,0,1,38,19,8,10,17,24,20,11,11,21,21,33,36,35,18,11,18,16,,1,8,19,22,19,53,53,78,117,736,3.2%
,Italy,,,,,,,1,1,3,22,28,36,24,21,9,49,62,57,63,44,62,75,50,49,29,54,,84,16,3,34,2,39,41,955,4.1%
,Kazakhstan,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Kyrgyzstan,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,16,0.1%
,Lebanon,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Lithuania,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,0%
,Moldova,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,16,0.1%
,Netherlands,,,,,,,,,,,,,,5,8,134,10,44,44,,2,23,2,1,2,1,27,28,14,34,44,,,,423,1.8%
,Norway,,,,,,9,,,,,,19,49,41,41,3,12,,1,0,2,10,26,21,10,19,5,12,13,15,37,27,,64,436,1.9%
,Poland,4,,0,,,2,48,8,,,1,,,10,8,,,,,,,,,,1,2,1,2,2,,,,2,4,93,0.4%
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,172,56,,,46,11,,,285,1.2%
,Qatar,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Romania,,,,,2,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1%
,Russia,,,349,1065,101,348,222,138,37,76,24,23,37,64,60,180,26,15,78,6,62,15,,,7,,15,65,,71,138,60,,,3280,14%
,Serbia,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,0%
,South Africa,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,1,0%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,5,14,23,23,167,582,827,3.6%
,Soviet Union,2358,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969,13%
,Spain,,,,,,,,,,,,,,25,38,38,,25,25,,,51,38,25,,,,,,,,25,0,28,317,1.4%
,Sweden,25,,,2,,,,,0,,,3,2,9,5,384,245,177,13,22,18,17,37,10,6,6,24,6,4,4,7,6,1,28,1060,4.6%
,Switzerland,,,,,,7,3,28,120,130,,,,2,10,,,,3,,2,,2,,,2,,,4,,30,24,17,27,410,1.8%
,Turkiye,,,,,,,,,,,,,,,,,,,,2,,,0,,1,,0,,,,,3,25,60,92,0.4%
,UAE,,,,,,,6,37,,,,,,,,,,,,,,,,,,,,,,,,1,1,,46,0.2%
,Ukraine,,,,,,8,,7,6,0,1,137,,,3,4,,0,,,,,,4,5,,8,,,,,,,,182,0.8%
,United Kingdom,42,21,1,,,,,,,,,,1,2,220,221,2,18,18,18,,,10,73,,1,4,8,4,4,9,9,21,99,804,3.5%
,United States,,1,10,22,11,16,64,55,47,37,132,99,163,51,7,67,391,914,529,141,137,66,21,5,24,16,47,59,91,184,228,255,402,1056,5349,23%
,unknown supplier(s),,2,,0,53,,10,1,1,1,4,0,3,,,,,,,,,,,,,,,,,,,,,,75,0.3%
,Zimbabwe,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
CIS,Regional total,0,0,0,50,238,157,70,64,41,115,124,147,120,10,176,112,361,395,61,279,328,722,680,813,1005,1100,957,815,967,957,379,254,631,448,12576,100%
,Belarus,,,,,,,,,,,,,,,,20,43,1,1,27,9,51,69,33,33,,,10,37,,,,,,334,2.7%
,Bulgaria,,,,,,,,,,,,,9,,,,,,,,,,,4,,,,,,,,,,,13,0.1%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,3,,,,,,2,20,0.2%
,China,,,,,,,,,,2,,,,,,,,,,,,,,,16,,14,1,120,6,,5,5,1,170,1.4%
,Czechia,,,,,,,,,,,,,,,,,,,,,,10,8,5,5,13,16,20,6,,,,,5,89,0.7%
,France,,,,,,,,,,,,,,,,,,,,,,,,5,15,36,27,,,22,,7,22,34,168,1.3%
,Georgia,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,69,0.5%
,Germany,,,,,,,,,,,,,,,,,,,,,,7,3,3,18,13,7,13,,,,,,3,66,0.5%
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,4,36,0.3%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,243,1.9%
,Israel,,,,,,,,,,,,,,,,,7,,20,29,19,6,9,26,20,112,250,151,250,27,22,,,,947,7.5%
,Italy,,,,,,,,,,,,,,,,,,,,,,,9,,19,19,8,,,,,,,,54,0.4%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,21,0.2%
,Kazakhstan,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,0%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0.1%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,0%
,Romania,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.1%
,Russia,,,,,210,146,70,64,41,109,121,144,31,10,99,43,158,147,26,102,229,608,416,457,650,749,449,484,468,848,325,206,444,222,8076,64%
,Slovakia,,,,,,,,,,,,,1,,46,,,,,,,,,,,,,12,12,,,,,,71,0.6%
,South Africa,,,,,,,,,,,,,,,,,,,,5,9,5,16,3,4,2,4,9,7,7,2,,,,72,0.6%
,South Korea,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,14,0.1%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,50,25,,13,,,,13,176,1.4%
,Turkiye,,,,,,,,,,3,3,3,,,,,,,,,4,7,24,5,26,27,19,6,8,13,29,2,36,33,250,2%
,Ukraine,,,,50,25,,,,,1,,,10,,7,49,138,240,12,114,56,27,122,243,168,62,104,78,52,,,,,,1556,12%
,United States,,,,,,,,,,,,,,,19,,,6,3,3,1,1,5,0,4,36,3,3,0,1,1,1,1,,87,0.7%
,unknown supplier(s),,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,4,,,,,0,10,0.1%
COCOM,Regional total,8541,10059,9977,8886,8266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45730,100%
,Australia,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0%
,Austria,18,20,20,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,0.2%
,Brazil,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Canada,26,57,27,35,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,0.5%
,Denmark,44,,,183,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,1%
,Finland,,11,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.1%
,France,219,118,393,200,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,2.7%
,Germany,729,1489,641,945,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042,11%
,Greece,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0%
,Israel,2,60,107,117,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,0.8%
,Italy,37,151,163,240,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,1.6%
,Japan,,54,101,122,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,0.9%
,Jordan,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.1%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,159,222,213,233,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,2.5%
,New Zealand,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.1%
,Norway,33,42,11,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.4%
,Russia,,,29,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.1%
,Spain,8,45,54,54,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,0.5%
,Sweden,87,88,106,79,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,1%
,Switzerland,240,306,243,91,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,2%
,United Kingdom,412,427,413,519,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261,4.9%
,United States,6527,6934,7449,5973,4945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31827,70%
,unknown supplier(s),,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0%
CSTO/CST,Regional total,0,0,0,0,235,146,70,68,69,139,121,147,31,10,173,53,200,182,28,134,166,154,292,422,356,662,626,519,484,836,282,194,590,409,7798,100%
,Belarus,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,0.1%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,3,,,,,,2,14,0.2%
,China,,,,,,,,,,2,,,,,,,,,,,,,,,,,14,1,13,6,,5,5,1,47,0.6%
,Czechia,,,,,,,,,,,,,,,,,,,,,,10,8,5,5,13,16,16,,,,,,5,78,1%
,France,,,,,,,,,,,,,,,,,,,,,,,,5,13,,,,,,,,,17,35,0.4%
,Germany,,,,,,,,,4,,,,,,,,,,,,,7,3,3,18,13,7,13,,,,,,,67,0.9%
,Greece,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4,0.1%
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,4,36,0.5%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,243,3.1%
,Israel,,,,,,,,,,,,,,,,,,,18,21,9,,,2,1,,,,1,1,,,,,53,0.7%
,Italy,,,,,,,,,,,,,,,,,,,,,,,9,,19,19,8,,,,,,,,54,0.7%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,21,0.3%
,Kazakhstan,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,0.1%
,Montenegro,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,0%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0.2%
,Russia,,,,,210,146,70,64,41,109,121,144,31,10,99,43,158,79,8,100,127,123,152,147,95,535,442,370,410,799,279,154,444,222,5732,74%
,Slovakia,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,46,0.6%
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,7,7,2,,,,29,0.4%
,South Korea,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,14,0.2%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,25,25,,25,25,,,,,,13,113,1.4%
,Turkiye,,,,,,,,,3,3,,3,,,,,,,,,,,1,,6,16,1,2,2,2,1,2,17,14,73,0.9%
,Ukraine,,,,,25,,,4,18,22,,,,,4,10,26,95,,11,28,14,116,228,168,62,104,78,52,,,,,,1064,14%
,United States,,,,,,,,,,,,,,,19,,,6,3,3,,,3,,3,,3,3,,,1,1,1,,45,0.6%
,unknown supplier(s),,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,0,6,0.1%
East Asia,Regional total,5023,5254,5171,5699,3310,5434,5913,7817,7277,6407,5033,4385,4136,3694,5008,5352,5472,4000,4534,3215,3070,3115,3406,2374,3159,2549,2699,3444,3915,4020,3105,2806,2882,1986,144664,100%
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,3,,5,0%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,170,0.1%
,Canada,,5,33,30,,,,,,,2,7,7,7,5,4,4,2,,,,,,,,,,,,,,,,,104,0.1%
,China,96,145,5,55,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,0.2%
,France,162,183,149,211,205,216,819,1959,1933,239,179,188,233,223,269,255,325,352,334,289,164,174,211,217,180,202,177,166,135,541,137,68,79,86,11261,7.8%
,Germany,267,161,65,227,220,210,314,191,86,238,229,175,32,43,58,59,43,312,389,462,81,118,60,45,356,54,327,417,336,315,364,56,34,24,6365,4.4%
,Indonesia,,,,,,,,,,,,18,54,,,,,,,,,,,,,,,,,,,,,,72,0%
,Israel,52,52,40,28,28,28,28,28,46,50,56,28,90,,,,,,,,,,35,28,24,47,51,,,,,30,,2,766,0.5%
,Italy,64,9,,118,,39,8,8,13,10,13,3,10,16,10,5,5,,,,,,,,3,,,,,,,3,,8,345,0.2%
,Japan,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0%
,Kazakhstan,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0%
,Netherlands,54,27,27,61,50,38,,7,35,35,35,,,25,25,25,,39,10,,10,,10,,,,,,,,,,,,511,0.4%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0%
,Russia,,,1186,1102,146,624,1416,918,221,1528,2297,2537,2563,2118,2923,3157,2551,1364,1502,1097,747,763,704,661,561,839,772,1230,1686,1111,547,500,580,372,40320,28%
,Singapore,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0%
,Soviet Union,331,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,0.5%
,Spain,,,,18,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.1%
,Sweden,,,,,,,,,,,,8,,,,,,,3,20,20,26,11,32,33,28,8,8,11,8,,,,,213,0.1%
,Switzerland,,,5,,,,,33,33,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,33,33,,,,,,1305,0.9%
,Ukraine,,,18,18,11,,45,3,8,18,29,41,58,3,33,82,128,64,54,28,,,632,69,152,96,90,103,137,78,78,118,42,12,2247,1.6%
,United Kingdom,192,159,112,125,10,42,19,26,29,116,200,121,80,80,80,90,85,50,80,93,103,83,78,103,86,83,185,53,45,73,,46,46,60,2829,2%
,United States,3751,4141,3533,3707,2547,4181,3264,4646,4872,4110,1929,1197,945,1113,1538,1610,2266,1753,2097,1162,1880,1886,1600,984,1699,1102,956,1435,1532,1894,1979,1985,2099,1416,76811,53%
,unknown supplier(s),,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,4,0%
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,34,68,,,,,,,,102,0.1%
Eastern Europe,Regional total,694,132,48,56,209,58,68,4,69,67,9,85,89,1,159,160,398,465,165,241,238,660,585,671,930,573,638,571,683,666,82,153,3194,4297,17116,100%
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,23,0.1%
,Belarus,,,,,,,,,,,,,,,,20,43,1,1,27,9,51,69,33,33,,,10,37,,,,,,334,2%
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,39,0.2%
,Bulgaria,,36,,,,,,,,,,10,9,,1,18,5,2,,2,,2,,5,,,,,,,,,,,90,0.5%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,33,167,207,1.2%
,China,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,1,10,5,,5,5,1,31,0.2%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,39,43,0.3%
,Czechia,,,,,,,,,,,6,67,,1,1,21,44,4,,4,,10,8,5,5,13,16,20,50,6,13,,148,73,515,3%
,Czechoslovakia,538,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,3.5%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,0.1%
,East Germany (GDR),77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.4%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,22,0.1%
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,0%
,France,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,38,3,,6,76,156,285,1.7%
,Georgia,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,69,0.4%
,Germany,,,,,,,,,4,,,,,,,,,,,,,,,,14,10,,,,,,,285,662,975,5.7%
,Greece,,,,,,,,,2,2,,,,,22,,,,,,,,,,,,,,,,,,7,7,40,0.2%
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,4,36,0.2%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,243,1.4%
,Israel,,,,,,,,,,,,,,,,0,7,14,37,11,11,6,9,26,20,112,250,151,249,26,22,,,,949,5.5%
,Italy,,,,,,,,,,,,,,,,,,,,,,,9,,19,19,8,,,,,,30,74,159,0.9%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,21,0.1%
,Kazakhstan,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,6,0%
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,17,0.1%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,8,22,0.1%
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,0%
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,73,94,0.5%
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,24,82,0.5%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0.1%
,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,18,50,0.3%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,53,100,0.6%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,0%
,Poland,72,40,40,,,,,,,,,,,,,,,8,,,,,,,,,,,7,5,0,3,411,471,1056,6.2%
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,12,0.1%
,Romania,7,2,8,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,33,0.2%
,Russia,,,,6,181,47,68,,41,41,,,,,68,,116,68,18,48,147,561,339,401,644,303,235,285,194,560,13,69,254,121,4828,28%
,Slovakia,,,,,,,,,,,,,1,,46,,,,,,,,,,,,,12,12,,,,71,154,296,1.7%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2,40,0.2%
,South Africa,,,,,,,,,,,,,,,,,,,,5,9,5,16,3,4,2,,,,,,,,,43,0.3%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,0%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,12,26,50,0.3%
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,68,0.4%
,Turkiye,,,,,,,,,3,,3,2,,,,,,6,26,26,4,7,23,5,20,27,18,4,6,20,29,14,187,22,453,2.6%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,8,0%
,Ukraine,,,,50,25,,,4,18,22,,,10,,21,97,178,362,82,114,56,17,111,187,167,62,104,78,52,,,,,,1816,11%
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,288,146,441,2.6%
,United States,,,,,,,,,,,,6,,,,,,,1,3,1,1,2,0,2,4,5,11,22,9,5,21,970,1729,2791,16%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,5,13,0.1%
,Uzbekistan,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,0%
EC/EU,Regional total,3438,4998,5150,3413,4016,2940,2912,3348,4885,3072,3373,3237,2274,4455,3445,2503,3985,5912,3788,4030,3577,2038,2206,2199,1636,2404,2374,2557,1666,2013,2286,2633,3590,5108,111457,100%
,Australia,,,,,,,,,,,,,,6,,,8,2,14,12,,,,,,,1,5,,,,2,,,49,0%
,Austria,18,20,20,10,17,,,,1,11,5,,2,,2,3,57,59,11,35,42,42,19,14,2,,12,20,4,1,6,,1,,432,0.4%
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0%
,Belgium,,,,,,,,66,,,,,,,,,,,80,105,2,1,1,21,,1,,,5,,,10,,,293,0.3%
,Brazil,46,46,46,19,,38,27,27,,,,,,,,,,,48,,,,,,,,,7,5,,92,,,54,453,0.4%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,9,0%
,Canada,19,37,27,28,24,31,41,6,2,49,9,74,14,8,46,48,40,131,15,8,11,16,5,3,1,29,4,3,13,1,,11,10,7,769,0.7%
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,13,0%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,0%
,Czechia,,,,,,,,,,,,,,,,12,,1,,3,3,,,6,,,,0,0,,0,1,1,,27,0%
,Denmark,44,,,,,16,,,,,,,,,,,5,,8,8,8,10,1,3,5,8,16,8,18,,,,,,157,0.1%
,DR Congo,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0%
,Estonia,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Finland,,7,6,3,6,3,,,15,20,,30,33,29,20,38,53,55,48,57,55,49,56,65,75,18,18,22,33,25,12,15,40,29,936,0.8%
,France,154,65,327,111,182,205,110,197,141,189,94,153,113,103,92,82,100,983,111,127,161,247,137,265,232,231,135,113,134,54,59,304,233,453,6400,5.7%
,Germany,180,879,375,508,853,370,430,199,718,278,312,166,426,828,497,436,1037,1420,833,855,1246,117,121,124,399,766,672,408,169,128,157,94,146,366,16513,15%
,Greece,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0%
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10,0%
,Israel,1,1,1,9,9,9,9,2,5,5,6,31,6,19,26,50,35,197,111,98,104,89,112,93,55,62,97,96,64,23,107,162,164,153,2008,1.8%
,Italy,12,67,88,109,74,19,34,1,233,23,7,34,27,143,78,296,166,295,220,125,165,166,172,195,57,104,108,90,23,22,59,38,56,261,3563,3.2%
,Japan,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0.1%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,0%
,Moldova,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,12,0%
,Netherlands,20,142,144,205,186,162,99,176,201,,3,126,142,257,123,115,742,416,209,227,219,47,148,54,94,72,67,115,67,94,59,13,18,,4760,4.3%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0%
,Norway,33,98,,,2,8,4,13,3,0,,,13,38,51,6,14,5,5,36,9,8,25,87,73,90,20,18,14,17,45,29,2,64,828,0.7%
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,0%
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,7,2,,,,2,24,38,0%
,Portugal,,,,,,,,,,,,,,,,,,,,46,,,,,18,,172,56,,,46,11,,,349,0.3%
,Romania,,,,,,,,,,19,,,,,,,,,,,,,,216,,,,,,,,,,,235,0.2%
,Russia,,,29,,,,195,,138,369,299,136,47,20,82,245,48,,20,6,105,37,6,,7,,,,,1,,,,,1790,1.6%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,1,,,40,0%
,Singapore,,,,,,,,23,23,,,,,,,,,,,,20,9,,,,,,,,,,,,,75,0.1%
,Slovakia,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,16,0%
,South Africa,,,,,,,,1,1,1,,,5,5,14,5,17,17,20,17,6,1,9,20,,,,,,,,,,,140,0.1%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,6,142,282,157,35,33,178,592,1426,1.3%
,Spain,,55,27,,47,,,,27,18,28,,18,27,38,38,,50,51,63,79,97,47,79,,,,,3,5,160,246,146,60,1405,1.3%
,Sweden,8,16,12,12,8,9,19,6,34,28,42,207,35,62,125,456,364,315,303,191,148,143,180,75,26,26,56,22,27,18,15,8,28,52,3073,2.8%
,Switzerland,8,15,4,,,1,1,6,1,2,6,8,6,3,57,23,61,67,155,27,40,49,40,10,18,26,3,2,93,47,69,95,159,58,1161,1%
,Turkiye,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,24,46,75,0.1%
,UAE,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,0%
,Ukraine,,,,,,,,,,,,63,,,3,4,,0,,,,,,4,5,,8,,,,,,,,87,0.1%
